Web, Population, Crossover, Mutation, Fitness, Copies
Juice Shop, 32, 2, one, 35, 0.53125
Juice Shop, 32, 2, random, 33, 0.15625
Juice Shop, 32, 1, random, 35, 0.625
Juice Shop, 32, 1, one, 35, 0.625
Juice Shop, 32, 1, one, 35, 0.65625
Juice Shop, 32, 2, one, 35, 0.59375
Juice Shop, 32, 2, one, 35, 0.71875
Juice Shop, 32, 2, random, 35, 0.59375
Juice Shop, 32, 2, random, 35, 0.5625
Juice Shop, 32, 1, random, 35, 0.5625
Juice Shop, 32, 1, one, 35, 0.625
Juice Shop, 32, 1, random, 35, 0.6875
Juice Shop, 32, 2, random, 35, 0.625
Juice Shop, 32, 1, one, 35, 0.46875
Juice Shop, 32, 1, one, 35, 0.53125
Juice Shop, 32, 1, random, 3, 0.03125
Juice Shop, 32, 2, one, 35, 0.75
Juice Shop, 32, 2, one, 35, 0.65625
Juice Shop, 32, 1, random, 35, 0.53125
Juice Shop, 32, 2, random, 35, 0.71875
Juice Shop, 32, 2, random, 33, 0.0625
Juice Shop, 32, 1, one, 35, 0.5
Juice Shop, 32, 2, one, 35, 0.53125
Juice Shop, 32, 1, random, 35, 0.5
Juice Shop, 32, 1, one, 35, 0.5625
Juice Shop, 32, 2, one, 35, 0.65625
Juice Shop, 32, 2, random, 35, 0.5
Juice Shop, 32, 2, one, 35, 0.5625
Juice Shop, 32, 1, random, 33, 0.1875
Juice Shop, 32, 1, one, 35, 0.53125
Juice Shop, 32, 1, random, 35, 0.5625
Juice Shop, 32, 2, random, 33, 0.0625
Juice Shop, 32, 1, one, 35, 0.78125
Juice Shop, 32, 2, one, 35, 0.5
Juice Shop, 32, 1, one, 35, 0.59375
Juice Shop, 32, 2, random, 33, 0.15625
Juice Shop, 32, 1, random, 35, 0.6875
Juice Shop, 32, 1, random, 35, 0.59375
Juice Shop, 32, 2, random, 35, 0.65625
Juice Shop, 32, 1, random, 35, 0.71875
Juice Shop, 32, 1, one, 33, 0.21875
Juice Shop, 32, 2, random, 35, 0.625
Juice Shop, 32, 2, random, 35, 0.65625
Juice Shop, 32, 1, one, 33, 0.25
Juice Shop, 32, 2, random, 33, 0.15625
Juice Shop, 32, 2, one, 33, 0.125
Juice Shop, 32, 1, one, 35, 0.65625
Juice Shop, 32, 2, one, 35, 0.59375
Juice Shop, 32, 2, random, 35, 0.625
Juice Shop, 32, 1, random, 35, 0.75
Juice Shop, 32, 2, one, 35, 0.5625
Juice Shop, 32, 1, random, 33, 0.09375
Juice Shop, 32, 1, random, 35, 0.6875
Juice Shop, 32, 1, random, 35, 0.59375
Juice Shop, 32, 1, one, 35, 0.5625
Juice Shop, 32, 1, one, 33, 0.125
Juice Shop, 32, 2, one, 33, 0.25
Juice Shop, 32, 2, random, 35, 0.6875
Juice Shop, 32, 2, one, 33, 0.15625
Juice Shop, 32, 2, one, 33, 0.15625
Juice Shop, 32, 2, one, 33, 0.25
Juice Shop, 32, 1, random, 35, 0.6875
Juice Shop, 32, 1, random, 35, 0.65625
Juice Shop, 32, 2, one, 35, 0.5625
Juice Shop, 32, 2, random, 33, 0.03125
Juice Shop, 32, 1, one, 35, 0.6875
Juice Shop, 32, 1, one, 33, 0.125
Juice Shop, 32, 2, one, 35, 0.625
Juice Shop, 32, 2, one, 35, 0.75
Juice Shop, 32, 2, random, 35, 0.53125
Juice Shop, 32, 2, random, 35, 0.46875
Juice Shop, 32, 2, random, 35, 0.59375
Juice Shop, 32, 2, one, 35, 0.6875
Juice Shop, 32, 1, random, 35, 0.65625
Juice Shop, 32, 2, one, 35, 0.6875
Juice Shop, 32, 1, random, 35, 0.625
Juice Shop, 32, 1, random, 33, 0.28125
Juice Shop, 32, 1, one, 33, 0.03125
Juice Shop, 32, 1, one, 35, 0.59375
Juice Shop, 32, 2, random, 35, 0.625
Juice Shop, 32, 2, random, 33, 0.15625
Juice Shop, 32, 1, random, 35, 0.6875
Juice Shop, 32, 1, one, 35, 0.75
Juice Shop, 32, 1, one, 35, 0.6875
Juice Shop, 32, 1, random, 33, 0.0625
Juice Shop, 32, 2, one, 35, 0.71875
Juice Shop, 32, 1, random, 33, 0.21875
Juice Shop, 32, 1, one, 33, 0.1875
Juice Shop, 32, 1, random, 35, 0.59375
Juice Shop, 32, 1, random, 33, 0.1875
results_juice_32_1_one_27.txt is empty
