File, Distance
results_simple_32_2_random_5.txt, 0
results_simple_32_2_random_5.txt, 2407
results_simple_32_2_random_5.txt, 914
results_simple_32_2_random_5.txt, 1988
results_simple_32_2_random_5.txt, 1950
results_simple_32_2_random_5.txt, 2147
results_simple_32_2_random_5.txt, 599
results_simple_32_2_random_5.txt, 2357
results_simple_32_2_random_5.txt, 913
results_simple_32_2_random_5.txt, 216
results_simple_32_2_random_5.txt, 2
results_simple_32_2_random_5.txt, 1077
results_simple_32_2_random_5.txt, 1643
results_simple_32_2_random_5.txt, 1338
results_simple_32_2_random_5.txt, 1153
results_simple_32_2_random_5.txt, 2146
results_simple_32_2_random_5.txt, 915
results_simple_32_2_random_5.txt, 1604
results_simple_32_2_random_5.txt, 2406
results_simple_32_2_random_5.txt, 2011
results_simple_32_2_random_5.txt, 2115
results_simple_32_2_random_5.txt, 2241
results_simple_32_2_random_5.txt, 1
results_simple_32_2_random_5.txt, 1095
results_simple_32_2_random_5.txt, 2408
results_simple_32_2_random_5.txt, 2148
results_simple_32_2_random_5.txt, 2240
results_simple_32_2_random_5.txt, 1152
results_simple_32_2_random_5.txt, 2279
results_simple_32_2_random_5.txt, 2409
results_simple_32_2_random_5.txt, 2243
results_simple_32_2_random_5.txt, 2407
results_simple_32_2_random_5.txt, 0
results_simple_32_2_random_5.txt, 1775
results_simple_32_2_random_5.txt, 1439
results_simple_32_2_random_5.txt, 1699
results_simple_32_2_random_5.txt, 512
results_simple_32_2_random_5.txt, 1914
results_simple_32_2_random_5.txt, 290
results_simple_32_2_random_5.txt, 1776
results_simple_32_2_random_5.txt, 2279
results_simple_32_2_random_5.txt, 2407
results_simple_32_2_random_5.txt, 2570
results_simple_32_2_random_5.txt, 1800
results_simple_32_2_random_5.txt, 2017
results_simple_32_2_random_5.txt, 1894
results_simple_32_2_random_5.txt, 513
results_simple_32_2_random_5.txt, 1778
results_simple_32_2_random_5.txt, 807
results_simple_32_2_random_5.txt, 1
results_simple_32_2_random_5.txt, 1418
results_simple_32_2_random_5.txt, 780
results_simple_32_2_random_5.txt, 168
results_simple_32_2_random_5.txt, 2406
results_simple_32_2_random_5.txt, 1552
results_simple_32_2_random_5.txt, 1
results_simple_32_2_random_5.txt, 511
results_simple_32_2_random_5.txt, 169
results_simple_32_2_random_5.txt, 1893
results_simple_32_2_random_5.txt, 384
results_simple_32_2_random_5.txt, 2
results_simple_32_2_random_5.txt, 914
results_simple_32_2_random_5.txt, 1775
results_simple_32_2_random_5.txt, 0
results_simple_32_2_random_5.txt, 1270
results_simple_32_2_random_5.txt, 1456
results_simple_32_2_random_5.txt, 1513
results_simple_32_2_random_5.txt, 683
results_simple_32_2_random_5.txt, 1725
results_simple_32_2_random_5.txt, 1
results_simple_32_2_random_5.txt, 698
results_simple_32_2_random_5.txt, 912
results_simple_32_2_random_5.txt, 1565
results_simple_32_2_random_5.txt, 1613
results_simple_32_2_random_5.txt, 856
results_simple_32_2_random_5.txt, 611
results_simple_32_2_random_5.txt, 1512
results_simple_32_2_random_5.txt, 3
results_simple_32_2_random_5.txt, 1672
results_simple_32_2_random_5.txt, 1774
results_simple_32_2_random_5.txt, 1293
results_simple_32_2_random_5.txt, 1399
results_simple_32_2_random_5.txt, 1607
results_simple_32_2_random_5.txt, 913
results_simple_32_2_random_5.txt, 267
results_simple_32_2_random_5.txt, 1776
results_simple_32_2_random_5.txt, 1514
results_simple_32_2_random_5.txt, 1606
results_simple_32_2_random_5.txt, 612
results_simple_32_2_random_5.txt, 1643
results_simple_32_2_random_5.txt, 1988
results_simple_32_2_random_5.txt, 1439
results_simple_32_2_random_5.txt, 1270
results_simple_32_2_random_5.txt, 0
