File, Distance
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 8
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 1
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 2
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 3
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 6
results_simple_16_2_random_6.txt, 8
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 7
results_simple_16_2_random_6.txt, 5
results_simple_16_2_random_6.txt, 4
results_simple_16_2_random_6.txt, 0
results_simple_16_2_random_6.txt, 6
